ESCRUTINIO PROVISORIO: Elecciones Primarias Abiertas Provinciales del 22 de Mayo de 2011                                                                                  
Escrutado:100,00%   -   Fecha y Hora de cierre: 23/05/2011 - 06:36                                                                                                        
                                                                                                                                                                          
Cargo: GOBERNADOR Y VICE - detalle por SECCIONALES DE ROSARIO                                                                                                             
                                                                                                                                                                          
Fecha;Depto;Nombre Departamento;Localidad;Nombre Localidad;Tipo Loc;Cargo;Partido;Nombre Partido;Nombre Candidato;Votos;Porcentaje;                                       
2011/05/22;13;ROSARIO;301 ;;CIRC.S;GOBERNADOR Y VICE;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;CACERES LUIS ALBERTO;0000010;  0,46                                         
2011/05/22;13;ROSARIO;301 ;;CIRC.S;GOBERNADOR Y VICE;0005;MOV. INDEPENDIENTE, JUSTICIA Y DIGNIDAD;CASTELLS RAUL ANIBAL;0000013;100,00                                     
2011/05/22;13;ROSARIO;301 ;;CIRC.S;GOBERNADOR Y VICE;0006;PARTIDO OBRERO;BLANCO CARLOS ALBERTO MARIA;0000025;100,00                                                       
2011/05/22;13;ROSARIO;301 ;;CIRC.S;GOBERNADOR Y VICE;    ;Votos en Blanco;;0000105;  2,75                                                                                 
2011/05/22;13;ROSARIO;301 ;;CIRC.S;GOBERNADOR Y VICE;    ;Votos Anulados;;0000119;  3,12                                                                                  
2011/05/22;13;ROSARIO;301 ;;CIRC.S;GOBERNADOR Y VICE;    ;Votos Recurridos;;0000001;  0,03                                                                                
2011/05/22;13;ROSARIO;301 ;;CIRC.S;GOBERNADOR Y VICE;    ;Votos Impugnados;;0000000;  0,00                                                                                
2011/05/22;13;ROSARIO;301 ;;CIRC.S;GOBERNADOR Y VICE;    ;Votos Fuerza de Seguridad;;0000012;  0,31                                                                       
2011/05/22;13;ROSARIO;301 ;;CIRC.S;GOBERNADOR Y VICE;    ;Votos Electores Observados;;0000000;  0,00                                                                      
2011/05/22;13;ROSARIO;301 ;;CIRC.S;GOBERNADOR Y VICE;    ;Total de votos emitidos;;0003812;  0,00                                                                         
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;0001;PARTIDO AUTONOMISTA;YERBE CARLOS;0000009;100,00                                                                 
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;0002;UNION PRO FEDERAL;TORRES MIGUEL IGNACIO;0000366;100,00                                                          
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;0003;FRENTE SANTA FE PARA TODOS;ROSSI AGUSTIN OSCAR;0000529; 38,44                                                   
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;0003;FRENTE SANTA FE PARA TODOS;BIELSA RAFAEL ANTONIO;0000447; 32,49                                                 
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;0003;FRENTE SANTA FE PARA TODOS;PEROTTI OMAR ANGEL;0000356; 25,87                                                    
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;0003;FRENTE SANTA FE PARA TODOS;MERCIER JUAN CARLOS;0000044;  3,20                                                   
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;BONFATTI ANTONIO JUAN;0001551; 55,45                                        
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;GIUSTINIANI RUBEN HECTOR;0000669; 23,92                                     
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;BARLETTA MARIO DOMINGO;0000570; 20,38                                       
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;CACERES LUIS ALBERTO;0000007;  0,25                                         
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;0005;MOV. INDEPENDIENTE, JUSTICIA Y DIGNIDAD;CASTELLS RAUL ANIBAL;0000021;100,00                                     
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;0006;PARTIDO OBRERO;BLANCO CARLOS ALBERTO MARIA;0000031;100,00                                                       
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;    ;Votos en Blanco;;0000147;  2,93                                                                                 
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;    ;Votos Anulados;;0000253;  5,04                                                                                  
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;    ;Votos Recurridos;;0000001;  0,02                                                                                
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;    ;Votos Impugnados;;0000010;  0,20                                                                                
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;    ;Votos Fuerza de Seguridad;;0000013;  0,26                                                                       
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;    ;Votos Electores Observados;;0000000;  0,00                                                                      
2011/05/22;13;ROSARIO;302 ;;CIRC.S;GOBERNADOR Y VICE;    ;Total de votos emitidos;;0005024;  0,00                                                                         
