ESCRUTINIO PROVISORIO: Elecciones Primarias Abiertas Provinciales del 22 de Mayo de 2011                                                                                  
Escrutado:100,00%   -   Fecha y Hora de cierre: 23/05/2011 - 06:36                                                                                                        
                                                                                                                                                                          
Cargo: DIPUTADOS PROVINCIALES - detalle por SECCIONALES DE SANTA FE                                                                                                       
                                                                                                                                                                          
Fecha;Depto;Nombre Departamento;Localidad;Nombre Localidad;Tipo Loc;Cargo;Partido;Nombre Partido;Nombre Candidato;Votos;Porcentaje;                                       
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;0003;FRENTE SANTA FE PARA TODOS;;0000095; 10,71                                                              
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;0003;FRENTE SANTA FE PARA TODOS;;0000095; 10,71                                                              
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;0003;FRENTE SANTA FE PARA TODOS;;0000083;  9,36                                                              
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;0003;FRENTE SANTA FE PARA TODOS;;0000014;  1,58                                                              
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;;0000919; 65,32                                                     
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;;0000286; 20,33                                                     
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;;0000094;  6,68                                                     
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;;0000071;  5,05                                                     
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;;0000020;  1,42                                                     
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;;0000017;  1,21                                                     
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;0005;MOV. INDEPENDIENTE, JUSTICIA Y DIGNIDAD;;0000004;100,00                                                 
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;0006;PARTIDO OBRERO;;0000013;100,00                                                                          
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;0020;MOVIMIENTO PROYECTO SUR;;0000044;100,00                                                                 
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;0038;POLITICA ABIERTA P LA INTEGRIDAD SOCIAL;;0000003;100,00                                                 
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;0058;DEMOCRATA CRISTIANO;;0000014;100,00                                                                     
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;    ;Votos en Blanco;;0000160;  5,62                                                                         
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;    ;Votos Anulados;;0000192;  6,75                                                                          
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;    ;Votos Recurridos;;0000011;  0,39                                                                        
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;    ;Votos Impugnados;;0000001;  0,04                                                                        
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;    ;Votos Fuerza de Seguridad;;0000016;  0,56                                                               
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;    ;Votos Electores Observados;;0000000;  0,00                                                              
2011/05/22;09;LA CAPITAL;001 ;;CIRC.S;DIPUTADOS PROVINCIALES;    ;Total de votos emitidos;;0002845;  0,00                                                                 
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0001;PARTIDO AUTONOMISTA;;0000007;100,00                                                                     
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0002;UNION PRO FEDERAL;;0000075;100,00                                                                       
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0003;FRENTE SANTA FE PARA TODOS;;0000296; 38,14                                                              
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0003;FRENTE SANTA FE PARA TODOS;;0000209; 26,93                                                              
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0003;FRENTE SANTA FE PARA TODOS;;0000106; 13,66                                                              
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0003;FRENTE SANTA FE PARA TODOS;;0000099; 12,76                                                              
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0003;FRENTE SANTA FE PARA TODOS;;0000061;  7,86                                                              
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0003;FRENTE SANTA FE PARA TODOS;;0000005;  0,64                                                              
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;;0000852; 64,45                                                     
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;;0000280; 21,18                                                     
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;;0000087;  6,58                                                     
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;;0000055;  4,16                                                     
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;;0000028;  2,12                                                     
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0004;FRENTE PROGRESISTA, CIVICO Y SOCIAL;;0000020;  1,51                                                     
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0005;MOV. INDEPENDIENTE, JUSTICIA Y DIGNIDAD;;0000003;100,00                                                 
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0006;PARTIDO OBRERO;;0000024;100,00                                                                          
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0020;MOVIMIENTO PROYECTO SUR;;0000050;100,00                                                                 
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0038;POLITICA ABIERTA P LA INTEGRIDAD SOCIAL;;0000005;100,00                                                 
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;0058;DEMOCRATA CRISTIANO;;0000016;100,00                                                                     
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;    ;Votos en Blanco;;0000189;  7,21                                                                         
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;    ;Votos Anulados;;0000140;  5,34                                                                          
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;    ;Votos Recurridos;;0000000;  0,00                                                                        
2011/05/22;09;LA CAPITAL;002 ;;CIRC.S;DIPUTADOS PROVINCIALES;    ;Votos Impugnados;;0000000;  0,00                                                                        
